FixReport ?梯”摨阮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?交?,瘞?114撟?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??,200#1???餌?hz,200#1?餃?V,200#1?餅?A,200#1??KW,200#1頧NM,200#1頧PM,100#2???餌?hz,100#2?餃?V,100#2?餅?A,100#2??KW,100#2頧NM,100#2頧PM,100#3???餌?hz,100#3?餃?V,100#3?餅?A,100#3??KW,100#3頧NM,100#3頧PM,100#4???餌?hz,200#5???餌?hz,蝮??祇???kw,蝮?蝝舐???kwh,蝮????,?楊瘞湔?瘞港?M,?瘞湔偌雿,?偌擃?摨西?ntu,?偌雿?摨西?ntu,?偌??瘞游?箸偌憯?KG/CM2,蝮賣???
2025/5/1 00:00,51,373.5,230.88,103.36,234.95,375,0,0,0,0,0,0,54,379.5196533,124.3277969,65.1754303,1046.317627,540,0,0,172.0099945,6781240,0.91624999,2.166066647,6.335833549,50.01666641,44.47803497,0.17,135697.5586
2025/5/1 00:10,51,373.5,230.97,103.34,235.22,375,0,0,0,0,0,0,54,379.5303345,124.3939667,65.18177032,1045.736328,540,0,0,171.7299957,6781268.5,0.915416658,2.171900034,6.341500282,49.95999908,44.23740005,0.17,135937.1827
2025/5/1 00:20,51,373.5,230.95,103.38,235.51,375,0,0,0,0,0,0,54,379.5150146,124.3411636,65.14266968,1046.369019,540,0,0,171.7766724,6781297,0.915030003,2.174833298,6.340833664,49.54999924,44.26293182,0.17,135779.3674
2025/5/1 00:30,51,373.5,231.03,103.33,235.23,375,0,0,0,0,0,0,54,379.5280151,124.4383316,65.1485672,1046.261353,540,0,0,171.8366699,6781326,0.913013339,2.181066751,6.336999893,49.36999893,44.19720078,0.17,135778.6634
2025/5/1 00:40,51,373.5,231.1,103.34,235.37,375,0,0,0,0,0,0,54,379.5169983,124.4064331,65.24316406,1044.769287,540,0,0,172.1066742,6781354.5,0.917129993,2.169900179,6.337500095,48.68999863,43.9649353,0.17,135767.2211
2025/5/1 00:50,51,373.5,231.08,103.38,235.26,375,0,0,0,0,0,0,54,379.5263367,124.323204,65.1159668,1046.563721,540,0,0,171.7766724,6781383,0.916006684,2.156933308,6.343833447,48.89666748,43.75486755,0.17,135816.7027
2025/5/1 01:00,51,373.5,231.03,103.33,235.26,375,0,0,0,0,0,0,54,379.5136719,124.4361649,65.22523499,1047.06604,540,0,0,193.5299988,6781413,0.918723345,2.176766634,6.335166931,50.76499939,43.6990509,0.17,135797.9167
2025/5/1 01:10,51,373.5,231.08,103.4,235.34,375,0,0,0,0,0,0,54,379.5249939,124.4904022,65.20703125,1046.446655,540,0,0,173.7299957,6781444.5,0.918293357,2.14350009,6.345666885,50.83333206,43.60936737,0.17,135723.783
2025/5/1 01:20,51,373.5,231.07,103.39,235.29,375,0,0,0,0,0,0,54,379.519989,124.3103333,65.17939758,1046.785645,540,0,0,171.656662,6781473,0.92007333,2.09586668,6.33550024,51.2266655,43.74086761,0.17,135771.4364
2025/5/1 01:30,51,373.5,231.11,103.38,235.41,375,0,0,0,0,0,0,54,379.5166626,124.3154373,65.23693085,1044.285034,540,0,0,172.156662,6781501.5,0.917930007,2.11016655,6.341500282,50.30333328,43.66156769,0.17,135773.7227
2025/5/1 01:40,51,373.5,231.13,103.36,235.46,375,0,0,0,0,0,0,54,379.519989,124.4601669,65.25646973,1047.023682,540,0,0,172.0850067,6781530.5,0.917069972,2.105466604,6.33550024,50.15333176,43.93436813,0.17,135912.3175
2025/5/1 01:50,51,373.5,231.09,103.35,235.36,375,0,0,0,0,0,0,54,379.5233459,124.5375671,65.23270416,1045.699707,540,0,0,171.9333344,6781559,0.920580029,2.0600667,6.34100008,50.16333389,43.67133331,0.17,135909.2092
2025/5/1 02:00,51,373.5,231.09,103.31,235.19,375,0,0,0,0,0,0,54,379.5150146,124.4769974,65.26036835,1047.84668,540,0,0,171.8500061,6781587.5,0.914913356,2.084766626,6.329999924,49.15000153,43.71953201,0.17,135786.9212
2025/5/1 02:10,51,373.5,231.08,103.31,235.28,375,0,0,0,0,0,0,54,379.5213318,124.2474976,65.23973083,1045.39563,540,0,0,172.093338,6781616.5,0.914853334,2.103566647,6.340833664,48.49333191,43.58013153,0.17,135936.7993
2025/5/1 02:20,51,373.5,231.16,103.32,235.28,375,0,0,0,0,0,0,54,379.5153198,124.4516296,65.21613312,1046.203613,540,0,0,171.456665,6781645,0.913463354,2.110099792,6.340000153,49.1566658,43.30369949,0.17,135781.7281
2025/5/1 02:30,51,373.5,231.21,103.36,235.39,375,0,0,0,0,0,0,54,379.5280151,124.3929977,65.21393585,1045.035034,540,0,0,171.7116699,6781673.5,0.913964987,2.116999865,6.335833549,48.91666794,43.18623352,0.17,135873.3639
2025/5/1 02:40,51,373.5,231.11,103.38,235.35,375,0,0,0,0,0,0,54,379.5136719,124.3361969,65.1340332,1045.585327,540,0,0,172.0500031,6781702.5,0.914273322,2.121633291,6.340500355,47.53333282,43.24226761,0.17,136021.0154
2025/5/1 02:50,51,373.5,231.14,103.35,235.37,375,0,0,0,0,0,0,54,379.5166626,124.2445984,65.23190308,1046.618286,540,0,0,172.1100006,6781731,0.914926648,2.124833345,6.34100008,47.41666794,43.18183517,0.17,135960.0556
2025/5/1 03:00,51,373.5,231.13,103.54,235.5,375,0,0,0,0,0,0,54,379.519989,124.2365036,65.16600037,1045.633667,540,0,0,171.9799957,6781759.5,0.914583325,2.128816605,6.33949995,47.20833206,43.04773331,0.17,136085.4922
2025/5/1 03:10,51,373.5,231.08,103.41,235.37,375,0,0,0,0,0,0,54,379.5280151,124.3683701,65.061203,1045.590332,540,0,0,172.0833282,6781788.5,0.914816678,2.132766724,6.338533401,46.74333191,42.93906784,0.17,135716.4444
